Rk,Team,Conf,Adj. Eff._Off.,Adj. Eff._Def.,Eff. FG%_Off.,Eff. FG%_Def.,Turnover%_Off.,Turnover%_Def.,Off. Reb%_Off.,Off. Reb%_Def.,FT Rate_Off.,FT Rate_Def.,FT%_Off.,FT%_Def.,2P%_Off.,2P%_Def.,3P%_Off.,3P%_Def.
1,Colorado St.,MWC,120.8,108.2,64.5,52.8,17.0,12.5,33.1,27.0,41.3,29.1,80.9,67.3,59.7,55.7,45.9,32.9
2,Liberty,CUSA,114.9,104.4,62.8,50.3,13.0,19.3,21.2,33.3,25.3,30.6,64.0,75.5,62.5,50.5,42.1,33.3
3,Iowa St.,B12,121.8,93.7,62.8,48.7,14.1,26.5,37.5,30.4,31.8,27.6,69.4,65.5,61.2,48.1,43.8,33.0
4,Akron,MAC,120.3,106.7,62.2,50.9,14.3,18.4,34.4,33.0,32.7,29.4,74.2,74.1,61.1,51.8,42.5,33.2
5,Missouri,SEC,119.6,101.6,61.4,47.6,19.0,19.3,40.6,26.4,43.2,31.7,69.6,71.3,63.9,45.5,37.9,33.2
6,Belmont,MVC,110.5,102.9,61.3,45.1,20.4,19.9,29.0,28.0,33.1,29.0,66.5,77.6,64.3,44.9,38.5,30.2
7,Vanderbilt,SEC,126.8,98.7,61.2,46.3,12.6,19.5,33.4,25.9,35.8,45.7,75.1,77.0,63.7,46.1,38.8,31.1
8,Michigan,B10,124.3,90.2,61.0,40.4,17.5,16.7,36.0,26.6,35.1,25.0,72.8,68.4,64.9,37.5,37.3,30.0
9,Ohio St.,B10,119.8,99.8,61.0,47.1,16.5,16.9,32.3,26.5,43.7,26.8,77.8,67.4,65.5,51.7,36.9,26.7
10,Cornell,Ivy,112.6,113.2,60.7,54.4,18.5,15.8,25.9,30.1,34.1,37.7,72.1,68.2,60.0,54.2,41.0,36.5
11,Seattle,WCC,107.8,102.2,60.3,47.5,18.5,23.1,24.6,36.2,36.0,35.6,66.2,75.2,59.8,46.9,40.9,32.3
12,Yale,Ivy,119.1,107.6,59.8,54.8,13.9,18.4,34.6,30.8,38.2,35.2,81.4,70.3,56.0,56.8,44.7,34.7
13,UC San Diego,BW,111.1,105.0,59.8,48.8,13.8,16.6,23.7,31.7,32.6,32.1,64.9,68.1,59.0,47.3,40.6,33.9
14,Iowa,B10,120.0,98.8,59.4,49.5,15.4,24.1,30.8,29.4,48.1,41.6,73.7,70.9,61.5,50.7,37.7,31.7
15,George Washington,A10,119.5,105.3,59.0,49.9,17.9,17.6,36.1,26.6,50.0,31.7,76.2,72.8,61.1,52.4,37.5,31.0
16,N.C. State,ACC,120.9,104.2,58.8,52.2,14.5,20.0,29.7,26.9,38.3,46.4,77.0,72.5,58.0,51.6,39.8,35.2
17,Alabama,SEC,126.3,99.9,58.5,48.5,13.8,13.1,32.0,32.2,35.7,32.7,74.1,66.9,63.1,48.9,36.1,31.7
18,Duke,ACC,121.8,92.3,58.4,40.0,14.6,18.9,36.2,28.2,41.2,23.0,71.0,69.2,63.1,39.9,35.5,26.7
19,LSU,SEC,118.6,100.3,58.3,44.9,15.4,14.9,36.1,25.6,45.9,29.3,78.4,61.1,62.5,43.7,33.5,31.1
20,Miami OH,MAC,112.0,106.5,58.2,50.1,15.8,21.1,29.7,23.3,35.2,34.0,82.7,73.7,60.0,49.8,37.3,33.9
21,Colorado,B12,118.1,106.6,58.1,52.8,13.1,15.0,32.7,26.3,46.6,28.2,74.0,75.8,56.7,50.0,41.0,38.3
22,Davidson,A10,109.4,106.5,57.9,51.3,17.6,18.9,26.8,31.1,44.7,39.4,67.7,66.7,56.1,54.4,40.1,30.7
23,Virginia,ACC,123.1,100.7,57.9,44.3,15.7,15.7,43.3,30.6,43.5,38.3,68.9,70.6,56.4,43.2,39.8,30.9
24,Kent St.,MAC,113.0,108.9,57.8,53.9,18.2,17.8,36.6,30.5,49.7,38.1,72.8,72.4,56.2,51.5,39.7,37.7
25,Purdue,B10,125.6,99.0,57.7,48.9,14.9,15.4,41.8,28.7,27.4,19.3,74.2,67.6,56.1,49.7,40.2,32.0
26,Saint Louis,A10,114.5,99.7,57.4,42.3,20.4,17.6,37.3,25.3,36.6,37.1,82.3,73.7,60.9,43.0,35.2,27.6
27,Boston University,Pat,108.8,117.2,57.2,56.1,19.1,14.8,29.4,32.5,28.5,36.1,71.1,75.0,56.6,54.8,38.6,38.6
28,Louisville,ACC,124.2,97.7,57.0,43.5,14.4,19.1,35.5,26.2,40.6,31.4,77.1,72.4,60.6,42.8,36.0,29.7
29,Nebraska,B10,116.2,100.5,57.0,46.4,14.4,18.7,27.0,28.2,30.5,19.8,72.4,75.7,62.6,46.3,34.6,30.9
30,Queens,ASun,111.3,115.6,57.0,52.8,17.0,12.7,32.0,36.7,29.0,37.9,76.8,70.6,57.4,55.6,37.7,32.5
31,Utah Valley,WAC,109.9,100.8,57.0,47.1,21.3,19.9,31.8,30.4,33.3,37.6,64.7,71.9,58.4,49.8,36.2,28.3
32,Indiana,B10,118.0,97.1,56.9,44.0,13.8,19.3,29.5,26.8,38.0,36.8,76.1,74.7,59.2,41.4,36.2,32.8
33,Penn St.,B10,114.0,105.6,56.9,52.2,12.1,20.8,32.2,28.7,38.8,22.4,71.7,77.6,57.2,54.6,37.6,32.7
34,Columbia,Ivy,111.1,108.2,56.9,48.1,20.4,15.0,39.0,25.7,28.3,32.5,73.5,66.2,52.8,46.5,42.4,34.2
35,BYU,B12,123.1,97.8,56.8,47.0,13.5,17.2,31.2,27.7,31.5,28.3,76.3,61.6,57.7,46.8,36.9,31.6
36,Duquesne,A10,110.0,106.4,56.8,50.8,20.6,19.0,32.1,30.2,42.6,44.6,68.5,74.1,61.4,52.6,33.7,32.3
37,High Point,BSth,115.9,107.5,56.7,50.9,12.8,22.6,31.2,34.9,40.0,36.1,75.2,71.4,58.7,53.6,35.8,31.6
38,Providence,BE,117.4,106.1,56.7,50.6,14.9,16.0,29.9,31.3,33.7,29.1,78.4,74.9,58.4,46.1,36.3,37.8
39,Gonzaga,WCC,121.8,93.4,56.7,43.6,14.1,20.9,37.6,24.9,28.0,38.1,72.1,67.2,59.6,46.4,33.8,26.9
40,Arizona,B12,120.7,95.6,56.6,46.1,17.6,19.0,40.9,26.4,43.8,28.9,71.9,62.6,57.1,44.6,36.8,32.7
41,Le Moyne,NEC,107.3,118.6,56.6,51.9,20.2,14.9,28.4,32.1,39.1,32.0,74.6,78.7,54.1,45.6,40.1,41.2
42,Tulsa,Amer,115.8,108.5,56.6,51.6,15.2,16.9,33.3,26.3,39.9,28.7,78.1,72.2,52.9,49.6,40.4,36.4
43,Miami FL,ACC,115.9,97.8,56.6,45.6,16.9,20.7,37.6,27.9,36.3,34.0,66.4,62.9,57.3,44.3,36.7,31.6
44,Texas A&M,SEC,118.3,101.3,56.5,53.6,15.8,22.6,34.6,28.8,44.6,31.0,78.4,66.5,55.8,52.0,38.1,37.1
45,Butler,BE,115.5,102.4,56.5,46.7,17.3,16.7,40.2,29.0,45.3,23.6,65.6,71.2,55.2,46.7,39.4,31.1
46,East Tennessee St.,SC,107.3,106.0,56.3,47.8,17.3,21.3,31.2,27.3,30.8,36.4,71.0,74.1,59.9,47.9,34.0,31.8
47,Murray St.,MVC,112.7,107.1,56.2,48.3,17.0,17.3,36.8,32.5,40.4,30.1,74.7,73.2,58.2,48.2,36.1,32.3
48,Bellarmine,ASun,106.9,119.3,56.2,61.3,17.9,17.5,17.5,36.6,35.2,40.0,76.6,71.8,60.9,62.6,32.6,39.8
49,UCF,B12,115.8,105.1,56.2,48.5,17.3,16.3,42.7,28.3,34.8,41.4,73.6,79.1,54.4,48.8,39.7,32.1
50,Georgia,SEC,119.4,98.8,56.2,44.3,14.3,21.8,39.6,32.7,39.6,27.9,77.5,64.3,64.9,43.1,30.8,30.9
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
51,Kansas St.,B12,112.4,104.3,55.9,52.0,18.3,17.8,33.7,31.8,33.8,34.3,68.9,71.5,54.8,55.4,38.3,31.6
52,Auburn,SEC,121.8,101.7,55.9,48.5,14.6,18.6,39.5,33.3,45.3,28.5,72.2,78.1,58.0,48.6,35.1,32.2
53,California,ACC,113.8,103.1,55.9,45.7,15.7,17.6,29.8,32.9,39.0,31.5,74.5,66.1,55.1,45.7,38.1,30.4
54,USC,B10,119.9,100.6,55.9,47.1,16.3,18.7,36.0,33.4,51.4,34.6,71.3,75.8,55.2,49.0,38.2,29.5
55,Villanova,BE,117.5,101.5,55.8,52.1,16.3,19.8,45.8,27.7,30.0,30.2,69.2,69.0,56.8,46.9,36.4,41.2
56,Utah St.,MWC,114.7,101.7,55.7,48.6,17.7,22.5,32.8,29.8,39.9,41.3,70.1,69.6,57.6,46.3,35.1,34.1
57,Northwestern,B10,115.6,102.6,55.7,47.2,14.2,16.5,31.4,35.9,39.8,33.6,74.3,75.1,57.0,49.4,35.3,29.2
58,Montana,BSky,107.4,110.0,55.7,51.6,19.8,13.7,24.6,32.0,37.8,32.4,73.2,71.2,56.3,53.7,36.5,31.3
59,Buffalo,MAC,105.2,113.0,55.6,52.7,15.5,19.8,26.8,31.9,55.1,32.6,73.3,74.8,53.5,54.2,38.7,34.0
60,William & Mary,CAA,108.3,103.6,55.6,47.3,20.9,22.0,25.5,32.9,43.3,38.7,74.9,68.2,60.2,54.1,33.6,25.8
61,Connecticut,BE,121.8,94.6,55.5,42.5,14.2,20.3,34.0,25.6,33.0,39.3,71.2,76.3,59.0,43.9,33.3,26.8
62,Toledo,MAC,110.8,113.5,55.4,58.4,17.9,20.2,33.2,32.9,30.1,21.7,76.2,67.9,57.1,61.3,34.9,36.1
63,Richmond,A10,111.8,105.4,55.3,49.5,16.0,17.4,31.2,24.3,44.9,37.3,72.8,64.7,54.3,54.5,37.8,29.6
64,Illinois,B10,122.0,97.1,55.3,46.7,14.4,12.3,39.9,23.2,34.7,19.5,78.6,71.6,60.7,45.7,32.5,32.1
65,St. John's,BE,122.9,97.6,55.3,47.7,15.8,20.9,39.1,36.4,45.0,31.3,71.1,72.5,56.8,46.7,35.0,32.9
66,Marshall,SB,106.1,108.8,55.2,50.0,20.1,16.6,31.8,30.8,30.7,45.9,77.0,69.5,56.2,50.3,36.1,33.0
67,Saint Mary's,WCC,115.3,97.0,55.1,44.2,18.7,15.4,37.4,27.4,42.7,25.2,82.5,78.2,52.8,44.4,39.5,29.3
68,Portland,WCC,103.7,111.7,55.1,51.8,21.7,16.7,26.7,29.2,37.7,30.3,72.4,76.0,58.9,54.0,31.5,32.9
69,Furman,SC,108.4,108.7,55.0,53.1,20.0,13.4,30.8,27.4,32.6,27.5,66.4,72.9,64.3,54.4,30.3,34.2
70,Notre Dame,ACC,114.1,101.7,55.0,49.3,17.6,16.3,32.9,25.1,35.6,36.7,70.3,71.6,55.9,49.4,35.9,32.8
71,Oklahoma,SEC,119.2,103.4,55.0,49.2,13.5,16.8,35.7,31.6,34.6,25.7,75.6,74.4,58.1,47.2,34.2,34.9
72,Vermont,AE,108.7,113.9,55.0,55.9,16.3,14.0,26.2,24.4,30.0,41.4,76.5,70.7,56.3,55.4,35.7,37.7
73,George Mason,A10,111.4,101.2,55.0,47.0,16.9,18.1,35.1,27.4,48.3,28.4,73.8,76.6,52.9,48.5,38.9,30.1
74,Youngstown St.,Horz,105.5,104.1,55.0,49.2,21.3,20.0,30.7,32.8,29.2,38.3,68.7,73.0,56.8,52.6,35.4,27.5
75,San Diego St.,MWC,114.1,100.3,54.9,51.7,20.0,21.0,32.5,34.5,36.2,36.1,76.5,72.2,51.9,51.3,40.0,34.7
76,Oklahoma St.,B12,116.4,101.1,54.9,47.5,18.1,17.9,35.4,26.2,42.2,32.3,75.5,71.3,58.7,50.6,32.1,29.4
77,UCLA,B10,118.4,97.7,54.8,48.3,16.5,20.9,34.0,30.6,35.8,29.7,70.3,70.5,54.8,49.2,36.5,31.4
78,Elon,CAA,112.3,113.2,54.7,54.9,15.4,14.6,37.0,31.4,34.4,37.9,71.4,66.1,55.1,58.0,36.2,34.4
79,Northern Colorado,BSky,106.4,107.7,54.4,47.0,17.1,13.3,24.6,25.7,35.9,34.0,81.9,67.2,58.9,52.2,32.7,24.6
80,Wright St.,Horz,106.0,106.4,54.3,50.9,18.1,20.2,26.4,35.1,28.4,37.6,63.8,70.4,53.1,54.3,37.4,29.5
81,Kentucky,SEC,117.6,97.1,54.3,44.9,14.7,15.5,33.7,25.2,30.0,25.9,75.0,66.4,59.2,45.4,31.9,29.5
82,St. Thomas,Sum,107.7,107.4,54.3,53.4,14.7,18.8,17.9,26.7,29.7,30.0,75.3,77.7,63.1,56.1,30.0,33.3
83,SMU,ACC,115.8,101.1,54.2,47.2,15.7,19.0,34.7,29.9,40.7,32.9,76.2,73.0,55.7,50.0,33.9,29.0
84,Tennessee,SEC,119.1,95.0,54.2,43.5,18.9,18.8,44.2,29.4,35.9,34.7,75.3,68.9,55.0,44.1,35.1,28.5
85,Wisconsin,B10,118.5,99.3,54.2,50.6,14.1,17.6,33.2,24.0,35.6,34.3,80.1,70.3,56.9,49.2,34.3,35.1
86,Washington St.,WCC,109.1,110.5,54.2,57.8,17.4,15.8,29.2,22.2,34.4,35.9,78.2,76.1,56.6,58.7,34.0,37.7
87,Arkansas,SEC,119.4,97.0,54.2,45.7,12.8,16.6,30.9,29.6,38.1,25.5,78.3,68.0,54.9,48.6,35.5,27.8
88,UNC Asheville,BSth,106.7,109.4,54.2,49.2,21.5,16.2,28.9,36.0,42.4,34.3,69.5,71.1,52.7,52.8,38.2,28.6
89,UC Davis,BW,104.1,105.6,54.1,49.2,20.4,20.2,27.1,31.0,39.4,37.2,74.5,74.5,58.7,49.4,31.9,32.6
90,Eastern Washington,BSky,108.0,113.7,54.1,57.6,20.2,17.0,28.7,29.8,32.4,37.9,71.1,69.1,55.1,55.6,34.9,40.5
91,South Carolina,SEC,111.1,103.4,54.1,46.6,13.8,14.4,28.1,27.8,35.3,33.8,75.9,66.7,58.9,48.8,32.7,27.6
92,Iona,MAAC,108.1,108.7,54.1,49.6,16.4,16.4,27.1,34.0,33.0,29.4,70.7,64.8,52.7,54.3,37.3,27.8
93,North Florida,ASun,100.6,116.4,54.0,52.8,21.7,15.3,21.1,49.1,23.4,37.5,76.5,65.8,51.8,60.5,37.4,25.4
94,Creighton,BE,118.0,101.3,54.0,48.4,17.9,14.6,34.9,33.9,26.1,19.4,74.0,67.3,58.0,48.7,33.0,31.7
95,Texas,SEC,118.0,102.7,54.0,48.4,13.9,13.6,36.6,24.1,48.8,38.2,69.5,73.2,56.8,45.4,33.0,35.9
96,Delaware,CUSA,103.8,112.4,53.9,52.7,19.0,15.5,23.8,29.4,20.7,30.1,68.7,79.2,50.2,50.4,39.1,37.1
97,Rhode Island,A10,108.5,104.6,53.9,49.4,18.3,22.3,35.0,34.8,40.6,39.5,73.0,70.6,58.1,49.0,32.0,33.3
98,Baylor,B12,120.5,104.8,53.7,52.6,15.5,17.3,41.6,33.8,40.2,28.4,73.8,79.9,54.4,53.3,35.1,34.2
99,Wyoming,MWC,109.0,105.2,53.7,46.1,16.4,19.3,36.8,26.1,37.1,55.4,67.7,70.9,54.6,50.6,35.0,25.8
100,Colgate,Pat,107.6,109.3,53.6,49.1,15.1,15.6,23.0,34.0,22.6,31.8,77.8,73.6,55.3,50.8,33.5,31.0
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
101,Hawaii,BW,107.3,99.7,53.5,42.7,20.6,17.7,33.9,23.4,54.4,42.5,70.5,64.9,57.0,43.0,31.4,27.9
102,LIU,NEC,104.5,110.6,53.5,53.2,20.8,18.7,35.4,37.7,37.3,35.6,63.5,68.0,52.8,55.8,37.0,32.1
103,Houston Christian,Slnd,104.7,112.6,53.5,58.1,16.2,18.0,26.6,25.1,32.9,27.5,54.6,71.6,55.0,57.1,34.3,39.7
104,Idaho,BSky,111.1,111.7,53.4,53.2,16.7,14.1,30.6,23.3,39.9,40.6,74.8,70.0,54.5,54.0,35.0,34.6
105,San Francisco,WCC,112.2,102.3,53.4,47.2,18.8,15.2,34.6,33.4,41.1,32.9,69.5,67.3,50.2,45.3,37.9,33.9
106,VCU,A10,112.3,98.0,53.4,46.3,17.6,19.8,34.4,31.5,46.9,39.1,69.8,71.0,53.1,44.8,35.8,33.1
107,Utah,B12,111.7,106.2,53.4,51.3,16.8,15.4,30.7,28.8,36.6,34.3,73.2,67.2,53.8,51.1,35.2,34.4
108,Northern Iowa,MVC,108.0,98.1,53.3,44.1,13.8,20.8,20.2,26.9,26.9,32.3,68.9,68.3,52.7,46.3,36.0,27.4
109,Clemson,ACC,116.8,98.9,53.3,45.2,12.7,15.9,36.6,24.6,40.6,35.8,74.9,70.4,56.4,47.8,32.8,27.9
110,Oakland,Horz,113.8,114.0,53.3,58.6,13.3,14.1,27.1,34.0,34.3,24.5,74.4,71.6,53.2,60.5,35.6,37.3
111,Santa Clara,WCC,116.8,100.3,53.2,46.6,16.1,21.1,41.5,32.0,27.3,42.1,67.1,76.4,55.6,48.3,33.3,29.2
112,Arizona St.,B12,113.6,105.1,53.2,53.0,14.3,21.5,28.4,32.8,44.1,40.0,72.8,74.0,51.7,55.8,37.0,32.8
113,Dayton,A10,111.2,100.1,53.1,53.1,16.9,24.5,26.2,29.1,48.5,32.9,72.4,70.5,55.6,48.5,33.2,40.1
114,UMBC,AE,104.2,112.9,53.0,52.2,19.9,14.1,26.3,28.2,31.9,23.2,71.0,72.3,54.3,50.5,34.0,37.2
115,James Madison,SB,110.9,111.9,53.0,51.4,15.8,15.8,29.2,32.3,33.0,44.4,71.0,72.4,49.4,51.4,38.0,34.3
116,Illinois St.,MVC,112.4,103.8,53.0,48.6,13.8,14.2,27.4,23.0,40.0,35.5,70.6,62.0,53.5,50.5,34.9,30.4
117,Robert Morris,Horz,107.4,108.5,52.9,48.5,20.1,16.6,39.3,33.1,22.6,51.0,64.0,75.0,52.4,49.5,35.7,31.1
118,UNC Wilmington,CAA,111.6,105.6,52.8,46.6,15.7,16.3,39.0,26.3,41.9,25.5,72.7,75.9,51.1,47.3,37.0,30.5
119,Sam Houston St.,CUSA,108.7,110.3,52.7,54.0,16.7,19.1,37.9,38.8,29.8,51.4,79.8,66.5,49.8,60.8,38.2,30.9
120,Southern Illinois,MVC,108.4,107.3,52.7,49.6,16.2,16.9,32.7,32.3,35.2,30.7,68.2,71.3,57.1,49.0,27.4,33.6
121,St. Bonaventure,A10,109.1,103.5,52.7,49.7,18.8,20.1,37.6,30.3,26.9,32.5,74.5,74.7,51.1,49.0,37.6,33.9
122,Kennesaw St.,CUSA,109.9,108.1,52.7,46.8,18.3,16.7,37.3,29.3,52.7,56.4,69.1,76.8,55.7,44.0,32.3,34.4
